filename,codec,nisqa_mos,subjective_mos,difference,noi_pred,dis_pred,col_pred,loud_pred
cz-364_0302_aac.wav,aac,2.009,2.07,0.061,2.7,2.863,1.927,2.71
cz-364_0302_opus.wav,opus,2.974,3.43,0.456,3.128,4.073,2.519,3.404
cz-364_0239_g711.wav,g711,3.426,3.4,-0.026,3.174,4.032,2.842,3.721
cz-364_0248_opus.wav,opus,3.626,4.32,0.694,3.46,4.327,2.882,3.814
cz-448_0421_aac.wav,aac,2.263,2.06,-0.203,2.777,2.714,2.263,2.993
cz-364_0293_opus.wav,opus,2.954,2.79,-0.164,3.153,3.687,2.292,3.277
cz-448_0430_amr.wav,amr,3.381,3.39,0.009,3.336,4.286,2.798,3.486
cz-364_0357_amr.wav,amr,3.546,3.03,-0.517,3.642,4.118,2.987,3.751
cz-392_0366_aac.wav,aac,2.415,2.0,-0.415,3.214,2.94,2.034,3.323
cz-392_0384_g711.wav,g711,3.068,2.66,-0.408,2.646,4.059,2.42,3.393
cz-448_0421_amr.wav,amr,3.02,3.66,0.64,3.039,3.943,2.748,3.377
cz-448_0430_aac.wav,aac,2.637,2.39,-0.247,2.842,3.636,2.218,3.079
cz-364_0266_g711.wav,g711,2.77,2.67,-0.1,2.961,3.423,2.39,3.262
cz-364_0357_aac.wav,aac,2.633,2.18,-0.453,2.747,3.363,2.235,3.424
cz-392_0366_amr.wav,amr,3.586,3.49,-0.096,3.855,4.251,2.859,3.751
cz-392_0366_opus.wav,opus,3.67,3.73,0.06,3.901,4.325,2.908,3.846
cz-364_0302_amr.wav,amr,2.739,2.76,0.021,3.29,3.665,2.285,3.274
cz-364_0284_opus.wav,opus,3.38,3.57,0.19,3.34,4.167,2.885,3.567
cz-364_0357_opus.wav,opus,3.557,3.44,-0.117,3.606,4.133,3.014,3.85
cz-364_0320_opus.wav,opus,3.093,2.7,-0.393,2.91,3.954,2.363,3.379
cz-364_0320_g711.wav,g711,3.148,3.51,0.362,2.751,3.825,2.537,3.516
cz-448_0440_aac.wav,aac,2.347,2.17,-0.177,2.412,3.895,2.322,2.608
cz-364_0212_aac.wav,aac,2.466,1.76,-0.706,2.892,4.19,2.108,3.121
cz-364_0203_amr.wav,amr,2.947,3.06,0.113,3.055,3.992,2.797,3.598
cz-392_0366_g711.wav,g711,3.468,3.46,-0.008,3.494,4.146,2.769,3.751
cz-392_0375_aac.wav,aac,2.424,2.39,-0.034,2.744,3.302,2.09,3.045
cz-364_0284_g711.wav,g711,3.236,3.15,-0.086,2.836,4.041,2.708,3.446
cz-0194_aac.wav,aac,2.331,2.7,0.369,2.732,2.965,1.917,2.862
cz-364_0284_aac.wav,aac,2.571,2.14,-0.431,2.807,3.849,2.359,3.11
cz-364_0357_g711.wav,g711,3.574,3.89,0.316,3.239,4.068,2.94,3.856
