filename,codec,nisqa_mos,subjective_mos,difference,noi_pred,dis_pred,col_pred,loud_pred
cz-364_0302_aac.wav,aac,3.005,3.12,0.115,2.409,3.253,3.005,3.732
cz-364_0302_opus.wav,opus,3.327,3.23,-0.097,2.922,3.544,3.282,3.924
cz-364_0329_g722.wav,g722,3.21,3.39,0.18,2.358,4.165,3.956,3.875
cz-364_0221_g722.wav,g722,3.144,3.45,0.306,2.225,3.876,3.151,3.568
cz-364_0257_g722.wav,g722,3.521,3.83,0.309,2.465,4.185,3.697,3.769
cz-448_0440_g722.wav,g722,3.005,2.89,-0.115,2.068,4.352,3.676,3.828
cz-364_0248_opus.wav,opus,4.209,3.67,-0.539,3.496,4.439,4.081,4.006
cz-448_0421_aac.wav,aac,3.772,4.04,0.268,2.103,4.395,4.107,4.118
cz-364_0293_opus.wav,opus,3.845,4.48,0.635,3.111,4.172,3.959,4.086
cz-392_0366_aac.wav,aac,3.96,3.66,-0.3,3.374,4.387,3.879,4.21
cz-448_0430_aac.wav,aac,3.453,3.56,0.107,2.462,4.243,3.877,3.65
cz-364_0357_aac.wav,aac,3.929,4.72,0.791,3.225,4.166,4.045,4.191
cz-364_0348_g722.wav,g722,3.682,3.74,0.058,3.531,4.237,4.048,3.968
cz-392_0366_opus.wav,opus,4.288,4.39,0.102,3.854,4.5,4.171,4.37
cz-364_0275_g722.wav,g722,3.797,3.96,0.163,2.399,4.376,4.046,4.089
cz-364_0284_opus.wav,opus,3.975,3.69,-0.285,2.911,4.262,3.982,4.166
cz-364_0357_opus.wav,opus,4.189,4.24,0.051,3.66,4.355,4.206,4.355
cz-448_0421_g722.wav,g722,3.894,3.89,-0.004,2.206,4.464,4.161,4.165
cz-364_0320_opus.wav,opus,3.85,3.41,-0.44,2.627,3.988,3.944,4.085
cz-364_0203_g722.wav,g722,3.443,3.33,-0.113,2.112,4.261,3.792,4.032
cz-364_0338_g722.wav,g722,3.861,4.3,0.439,3.072,4.35,3.982,4.241
cz-364_0230_g722.wav,g722,3.408,3.85,0.442,2.997,4.237,3.944,3.612
cz-448_0440_aac.wav,aac,2.613,2.48,-0.133,2.097,4.059,3.582,3.366
cz-364_0212_aac.wav,aac,3.946,3.95,0.004,2.579,4.411,4.053,4.218
cz-0194_g722.wav,g722,3.693,3.33,-0.363,2.895,4.242,4.178,3.981
cz-392_0375_aac.wav,aac,3.67,3.59,-0.08,2.689,4.368,3.67,3.97
cz-0194_aac.wav,aac,3.739,3.43,-0.309,2.67,4.214,4.011,3.867
cz-364_0284_aac.wav,aac,3.685,3.38,-0.305,2.417,4.551,4.119,4.169
cz-364_0311_aac.wav,aac,3.565,4.05,0.485,2.227,4.021,3.698,3.868
cz-392_0375_g722.wav,g722,3.671,3.45,-0.221,2.355,4.389,3.981,4.245
cz-392_0384_opus.wav,opus,3.668,3.82,0.152,3.011,4.219,3.909,4.11
cz-364_0266_opus.wav,opus,2.67,2.9,0.23,3.148,2.631,2.998,3.599
cz-364_0257_aac.wav,aac,3.351,2.86,-0.491,2.3,4.049,3.549,3.761
cz-364_0311_g722.wav,g722,3.634,3.55,-0.084,2.218,4.016,3.648,4.03
cz-364_0203_aac.wav,aac,3.469,3.37,-0.099,2.121,4.247,3.758,3.956
cz-364_0212_g722.wav,g722,3.958,3.86,-0.098,2.421,4.536,4.135,4.289
cz-364_0239_opus.wav,opus,4.035,4.68,0.645,3.476,4.267,3.998,4.166
cz-448_0430_g722.wav,g722,3.674,3.52,-0.154,2.321,4.356,4.051,4.033
cz-364_0239_aac.wav,aac,3.832,3.9,0.068,3.075,4.265,4.027,4.137
cz-448_0440_opus.wav,opus,2.902,3.35,0.448,2.541,3.96,3.841,3.224
cz-364_0248_g722.wav,g722,4.015,4.01,-0.005,3.221,4.411,4.062,4.115
cz-364_0293_g722.wav,g722,3.701,4.05,0.349,2.549,4.311,4.002,4.124
cz-364_0348_aac.wav,aac,3.891,4.33,0.439,2.835,4.518,4.085,4.092
