deg,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
cz-364_0302_aac.wav,2.0088284,2.699566,2.862664,1.9274273,2.7103598,NISQAv2
cz-364_0302_opus.wav,2.9742804,3.1278043,4.072632,2.518799,3.404182,NISQAv2
cz-364_0239_g711.wav,3.4264333,3.1740103,4.032223,2.8420408,3.7205038,NISQAv2
cz-364_0248_opus.wav,3.626458,3.4603035,4.326707,2.8815932,3.813636,NISQAv2
cz-448_0421_aac.wav,2.2627964,2.776669,2.7137015,2.2633533,2.9927402,NISQAv2
cz-364_0293_opus.wav,2.9542496,3.1525433,3.687299,2.2924206,3.2765934,NISQAv2
cz-448_0430_amr.wav,3.3813994,3.3362534,4.2862253,2.7978175,3.4863994,NISQAv2
cz-364_0357_amr.wav,3.5465,3.6423142,4.1181316,2.9871423,3.751051,NISQAv2
cz-392_0366_aac.wav,2.41488,3.213675,2.9400759,2.033787,3.3228848,NISQAv2
cz-392_0384_g711.wav,3.0684204,2.646327,4.0587373,2.419773,3.3931525,NISQAv2
cz-448_0421_amr.wav,3.020038,3.0386333,3.9430578,2.748164,3.376661,NISQAv2
cz-448_0430_aac.wav,2.6374238,2.8422601,3.636216,2.2182443,3.0786765,NISQAv2
cz-364_0266_g711.wav,2.769911,2.960584,3.423075,2.390157,3.2624516,NISQAv2
cz-364_0357_aac.wav,2.6334608,2.7469547,3.3628643,2.2350352,3.4244134,NISQAv2
cz-392_0366_amr.wav,3.5864315,3.8550854,4.251242,2.8593998,3.7509928,NISQAv2
cz-392_0366_opus.wav,3.6695988,3.901146,4.3247523,2.907839,3.8456357,NISQAv2
cz-364_0302_amr.wav,2.738832,3.289839,3.6651073,2.2850618,3.274355,NISQAv2
cz-364_0284_opus.wav,3.3801863,3.3400238,4.1665077,2.8851511,3.5668628,NISQAv2
cz-364_0357_opus.wav,3.556632,3.6063304,4.1328616,3.0135655,3.8503125,NISQAv2
cz-364_0320_opus.wav,3.092891,2.9104006,3.9542334,2.3630643,3.3792498,NISQAv2
cz-364_0320_g711.wav,3.1478364,2.7506316,3.8246317,2.5365436,3.516269,NISQAv2
cz-448_0440_aac.wav,2.3472831,2.412091,3.8945785,2.3218634,2.6080096,NISQAv2
cz-364_0212_aac.wav,2.4663193,2.8924751,4.1898656,2.1078148,3.1213758,NISQAv2
cz-364_0203_amr.wav,2.9472463,3.0553267,3.9919298,2.7967908,3.5981252,NISQAv2
cz-392_0366_g711.wav,3.4682434,3.494311,4.1458545,2.7690184,3.7510884,NISQAv2
cz-392_0375_aac.wav,2.4240632,2.7436655,3.3016338,2.0898452,3.0448077,NISQAv2
cz-364_0284_g711.wav,3.2360196,2.836414,4.040892,2.7083838,3.4458423,NISQAv2
cz-0194_aac.wav,2.3314097,2.7322505,2.9651673,1.9174491,2.8620203,NISQAv2
cz-364_0284_aac.wav,2.5709555,2.8065994,3.849316,2.3586433,3.1099236,NISQAv2
cz-364_0357_g711.wav,3.5743082,3.2393627,4.0682926,2.9401615,3.8555248,NISQAv2
cz-364_0311_aac.wav,2.932859,2.9219396,4.0104713,2.3069866,3.2754076,NISQAv2
cz-392_0384_opus.wav,3.088711,3.0653772,4.202674,2.4124954,3.4068115,NISQAv2
cz-364_0266_opus.wav,2.9633448,3.4700954,3.5017855,2.3534887,3.1673987,NISQAv2
cz-364_0257_amr.wav,3.377826,3.0472825,4.174367,2.705817,3.3842788,NISQAv2
cz-364_0311_amr.wav,3.0748842,3.1594412,4.1233163,2.4952044,3.4281743,NISQAv2
