category,codec_type,filename,path,codec_name,codec_long_name,sample_rate,channels,channel_layout,bit_rate,bits_per_sample,duration,size,format_name
source,original,cz-0194.wav,source/cz-0194.wav,pcm_f64le,PCM 64-bit floating point little-endian,16000,1,N/A,1024000,64,3.276875,419498,wav
source,original,cz-364_0203.wav,source/cz-364_0203.wav,pcm_f64le,PCM 64-bit floating point little-endian,16000,1,N/A,1024000,64,3.881688,496914,wav
source,original,cz-364_0212.wav,source/cz-364_0212.wav,pcm_f64le,PCM 64-bit floating point little-endian,16000,1,N/A,1024000,64,6.019438,770546,wav
source,original,cz-364_0221.wav,source/cz-364_0221.wav,pcm_f64le,PCM 64-bit floating point little-endian,16000,1,N/A,1024000,64,3.327188,425938,wav
source,original,cz-364_0230.wav,source/cz-364_0230.wav,pcm_f64le,PCM 64-bit floating point little-endian,16000,1,N/A,1024000,64,3.119188,399314,wav
source,original,cz-364_0239.wav,source/cz-364_0239.wav,pcm_f64le,PCM 64-bit floating point little-endian,16000,1,N/A,1024000,64,6.127250,784346,wav
source,original,cz-364_0248.wav,source/cz-364_0248.wav,pcm_f64le,PCM 64-bit floating point little-endian,16000,1,N/A,1024000,64,2.893125,370378,wav
source,original,cz-364_0257.wav,source/cz-364_0257.wav,pcm_f64le,PCM 64-bit floating point little-endian,16000,1,N/A,1024000,64,3.327188,425938,wav
source,original,cz-364_0266.wav,source/cz-364_0266.wav,pcm_f64le,PCM 64-bit floating point little-endian,16000,1,N/A,1024000,64,4.116000,526906,wav
source,original,cz-364_0275.wav,source/cz-364_0275.wav,pcm_f64le,PCM 64-bit floating point little-endian,16000,1,N/A,1024000,64,4.841000,619706,wav
source,original,cz-364_0284.wav,source/cz-364_0284.wav,pcm_f64le,PCM 64-bit floating point little-endian,16000,1,N/A,1024000,64,4.637500,593658,wav
source,original,cz-364_0293.wav,source/cz-364_0293.wav,pcm_f64le,PCM 64-bit floating point little-endian,16000,1,N/A,1024000,64,3.489938,446770,wav
source,original,cz-364_0302.wav,source/cz-364_0302.wav,pcm_f64le,PCM 64-bit floating point little-endian,16000,1,N/A,1024000,64,6.030500,771962,wav
source,original,cz-364_0311.wav,source/cz-364_0311.wav,pcm_f64le,PCM 64-bit floating point little-endian,16000,1,N/A,1024000,64,3.049938,390450,wav
source,original,cz-364_0320.wav,source/cz-364_0320.wav,pcm_f64le,PCM 64-bit floating point little-endian,16000,1,N/A,1024000,64,4.391000,562106,wav
source,original,cz-364_0329.wav,source/cz-364_0329.wav,pcm_f64le,PCM 64-bit floating point little-endian,16000,1,N/A,1024000,64,2.841938,363826,wav
source,original,cz-364_0338.wav,source/cz-364_0338.wav,pcm_f64le,PCM 64-bit floating point little-endian,16000,1,N/A,1024000,64,3.600000,460858,wav
source,original,cz-364_0348.wav,source/cz-364_0348.wav,pcm_f64le,PCM 64-bit floating point little-endian,16000,1,N/A,1024000,64,3.127250,400346,wav
source,original,cz-364_0357.wav,source/cz-364_0357.wav,pcm_f64le,PCM 64-bit floating point little-endian,16000,1,N/A,1024000,64,4.944438,632946,wav
source,original,cz-392_0366.wav,source/cz-392_0366.wav,pcm_f64le,PCM 64-bit floating point little-endian,16000,1,N/A,1024000,64,5.670938,725938,wav
source,original,cz-392_0375.wav,source/cz-392_0375.wav,pcm_f64le,PCM 64-bit floating point little-endian,16000,1,N/A,1024000,64,5.748625,735882,wav
source,original,cz-392_0384.wav,source/cz-392_0384.wav,pcm_f64le,PCM 64-bit floating point little-endian,16000,1,N/A,1024000,64,3.574375,457578,wav
source,original,cz-448_0421.wav,source/cz-448_0421.wav,pcm_f64le,PCM 64-bit floating point little-endian,16000,1,N/A,1024000,64,3.567813,456738,wav
source,original,cz-448_0430.wav,source/cz-448_0430.wav,pcm_f64le,PCM 64-bit floating point little-endian,16000,1,N/A,1024000,64,6.175250,790490,wav
source,original,cz-448_0440.wav,source/cz-448_0440.wav,pcm_f64le,PCM 64-bit floating point little-endian,16000,1,N/A,1024000,64,4.707875,602666,wav
encoded,amr,cz-0194_amr.wav,encoded/amr/cz-0194_amr.wav,amr_nb,AMR-NB (Adaptive Multi-Rate NarrowBand),8000,1,N/A,9600,0,3.283125,5372,wav
encoded,amr,cz-364_0203_amr.wav,encoded/amr/cz-364_0203_amr.wav,amr_nb,AMR-NB (Adaptive Multi-Rate NarrowBand),8000,1,N/A,9600,0,3.888000,6332,wav
